ncbiID	fullName	rank	parentID
329726	Acaryochloris marina MBIC11017	norank	155978
155978	Acaryochloris marina	species	155977
155977	Acaryochloris	genus	1890429
1890429	Acaryochloridaceae	family	1890424
1890424	Synechococcales	order	1117
1117	Cyanobacteria	phylum	1798711
1798711	Cyanobacteria/Melainabacteria group	norank	1783272
1783272	Terrabacteria group	norank	2
2	Bacteria	superkingdom	131567
131567	cellular organisms	norank	1
7029	Acyrthosiphon pisum	species	7028
7028	Acyrthosiphon	genus	33386
33386	Macrosiphini	tribe	133076
133076	Aphidinae	subfamily	27482
27482	Aphididae	family	33385
33385	Aphidoidea	superfamily	33380
33380	Aphidomorpha	infraorder	33373
33373	Sternorrhyncha	suborder	7524
7524	Hemiptera	order	33342
33342	Paraneoptera	cohort	33340
33340	Neoptera	infraclass	7496
7496	Pterygota	subclass	85512
85512	Dicondylia	norank	50557
50557	Insecta	class	6960
6960	Hexapoda	subphylum	197562
197562	Pancrustacea	norank	197563
197563	Mandibulata	norank	6656
6656	Arthropoda	phylum	88770
88770	Panarthropoda	norank	1206794
1206794	Ecdysozoa	norank	33317
33317	Protostomia	norank	33213
33213	Bilateria	norank	6072
6072	Eumetazoa	norank	33208
33208	Metazoa	kingdom	33154
33154	Opisthokonta	norank	2759
2759	Eukaryota	superkingdom	131567
7159	Aedes aegypti	species	53541
53541	Stegomyia	subgenus	7158
7158	Aedes	genus	1056966
1056966	Aedini	tribe	43817
43817	Culicinae	subfamily	7157
7157	Culicidae	family	41827
41827	Culicoidea	superfamily	43786
43786	Culicomorpha	infraorder	7148
7148	Nematocera	suborder	7147
7147	Diptera	order	33392
33392	Holometabola	cohort	33340
380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	norank	196023
196023	Aeromonas hydrophila subsp. hydrophila	subspecies	644
644	Aeromonas hydrophila	species	642
642	Aeromonas	genus	84642
84642	Aeromonadaceae	family	135624
135624	Aeromonadales	order	1236
1236	Gammaproteobacteria	class	1224
1224	Proteobacteria	phylum	2
272557	Aeropyrum pernix K1	norank	56636
56636	Aeropyrum pernix	species	56635
56635	Aeropyrum	genus	2272
2272	Desulfurococcaceae	family	114380
114380	Desulfurococcales	order	183924
183924	Thermoprotei	class	28889
28889	Crenarchaeota	phylum	1783275
1783275	TACK group	norank	2157
2157	Archaea	superkingdom	131567
176299	Agrobacterium fabrum str. C58	norank	1176649
1176649	Agrobacterium fabrum	species	1183400
1183400	Agrobacterium tumefaciens complex	speciesgroup	357
357	Agrobacterium	genus	227290
227290	Rhizobium/Agrobacterium group	norank	82115
82115	Rhizobiaceae	family	356
356	Rhizobiales	order	28211
28211	Alphaproteobacteria	class	1224
9646	Ailuropoda melanoleuca	species	9645
9645	Ailuropoda	genus	9632
9632	Ursidae	family	379584
379584	Caniformia	suborder	33554
33554	Carnivora	order	314145
314145	Laurasiatheria	superorder	1437010
1437010	Boreoeutheria	norank	9347
9347	Eutheria	norank	32525
32525	Theria	norank	40674
40674	Mammalia	class	32524
32524	Amniota	norank	32523
32523	Tetrapoda	norank	1338369
1338369	Dipnotetrapodomorpha	norank	8287
8287	Sarcopterygii	superclass	117571
117571	Euteleostomi	norank	117570
117570	Teleostomi	norank	7776
7776	Gnathostomata	norank	7742
7742	Vertebrata	norank	89593
89593	Craniata	subphylum	7711
7711	Chordata	phylum	33511
33511	Deuterostomia	norank	33213
400682	Amphimedon queenslandica	species	178513
178513	Amphimedon	genus	178475
178475	Niphatidae	family	6049
6049	Haplosclerida	order	1779146
1779146	Heteroscleromorpha	subclass	6042
6042	Demospongiae	class	6040
6040	Porifera	phylum	33208
240292	Trichormus variabilis ATCC 29413	norank	264691
264691	Trichormus variabilis	species	264688
264688	Trichormus	genus	1162
1162	Nostocaceae	family	1161
1161	Nostocales	order	1117
1288291	Anncaliia algerae PRA339	norank	723287
723287	Anncaliia algerae	species	311453
311453	Anncaliia	genus	307623
307623	Tubulinosematidae	family	2072739
2072739	Tubulinosematoidea	superfamily	6029
6029	Microsporidia	phylum	112252
112252	Fungi incertae sedis	norank	4751
4751	Fungi	kingdom	33154
28377	Anolis carolinensis	species	28376
28376	Anolis	genus	2024747
2024747	Dactyloidae	family	8511
8511	Iguania	suborder	1329911
1329911	Toxicofera	norank	1329912
1329912	Episquamata	norank	1329950
1329950	Unidentata	norank	1329961
1329961	Bifurcata	norank	8509
8509	Squamata	order	8504
8504	Lepidosauria	superorder	32561
32561	Sauria	norank	8457
8457	Sauropsida	norank	32524
7165	Anopheles gambiae	species	44542
44542	gambiae species complex	norank	44537
44537	Pyretophorus	norank	44534
44534	Cellia	subgenus	7164
7164	Anopheles	genus	43816
43816	Anophelinae	subfamily	7157
278021	Antonospora locustae	species	67677
67677	Antonospora	genus	469895
469895	Microsporidia incertae sedis	norank	6029
7460	Apis mellifera	species	7459
7459	Apis	genus	83321
83321	Apini	tribe	70987
70987	Apinae	subfamily	7458
7458	Apidae	family	34735
34735	Apoidea	superfamily	7434
7434	Aculeata	infraorder	7400
7400	Apocrita	suborder	7399
7399	Hymenoptera	order	33392
3702	Arabidopsis thaliana	species	3701
3701	Arabidopsis	genus	980083
980083	Camelineae	tribe	3700
3700	Brassicaceae	family	3699
3699	Brassicales	order	91836
91836	malvids	norank	71275
71275	rosids	norank	1437201
1437201	Pentapetalae	norank	91827
91827	Gunneridae	norank	71240
71240	eudicotyledons	norank	1437183
1437183	Mesangiospermae	norank	3398
3398	Magnoliophyta	norank	58024
58024	Spermatophyta	norank	78536
78536	Euphyllophyta	norank	58023
58023	Tracheophyta	norank	3193
3193	Embryophyta	norank	131221
131221	Streptophytina	subphylum	35493
35493	Streptophyta	phylum	33090
33090	Viridiplantae	kingdom	2759
2234	Archaeoglobus fulgidus	species	2233
2233	Archaeoglobus	genus	2232
2232	Archaeoglobaceae	family	2231
2231	Archaeoglobales	order	183980
183980	Archaeoglobi	class	28890
28890	Euryarchaeota	phylum	2157
746128	Aspergillus fumigatus	species	5052
5052	Aspergillus	genus	1131492
1131492	Aspergillaceae	family	5042
5042	Eurotiales	order	451871
451871	Eurotiomycetidae	subclass	147545
147545	Eurotiomycetes	class	716546
716546	leotiomyceta	norank	147538
147538	Pezizomycotina	subphylum	716545
716545	saccharomyceta	norank	4890
4890	Ascomycota	phylum	451864
451864	Dikarya	subkingdom	4751
511995	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	norank	511435
511435	Candidatus Azobacteroides pseudotrichonymphae	species	511434
511434	Candidatus Azobacteroides	genus	333046
333046	unclassified Bacteroidales	norank	171549
171549	Bacteroidales	order	200643
200643	Bacteroidia	class	976
976	Bacteroidetes	phylum	68336
68336	Bacteroidetes/Chlorobi group	norank	1783270
1783270	FCB group	norank	2
109871	Batrachochytrium dendrobatidis	species	100474
100474	Batrachochytrium	genus	1142503
1142503	Rhizophydiales incertae sedis	norank	451442
451442	Rhizophydiales	order	451435
451435	Chytridiomycetes	class	4761
4761	Chytridiomycota	phylum	112252
264462	Bdellovibrio bacteriovorus HD100	norank	959
959	Bdellovibrio bacteriovorus	species	958
958	Bdellovibrio	genus	213483
213483	Bdellovibrionaceae	family	213481
213481	Bdellovibrionales	order	1553900
1553900	Oligoflexia	class	1224
7091	Bombyx mori	species	7090
7090	Bombyx	genus	475327
475327	Bombycinae	subfamily	7089
7089	Bombycidae	family	37569
37569	Bombycoidea	superfamily	104431
104431	Obtectomera	norank	37567
37567	Ditrysia	norank	41197
41197	Heteroneura	parvorder	41196
41196	Neolepidoptera	infraorder	41191
41191	Glossata	suborder	7088
7088	Lepidoptera	order	85604
85604	Amphiesmenoptera	superorder	33392
340100	Bordetella petrii DSM 12804	norank	94624
94624	Bordetella petrii	species	517
517	Bordetella	genus	506
506	Alcaligenaceae	family	80840
80840	Burkholderiales	order	28216
28216	Betaproteobacteria	class	1224
9913	Bos taurus	species	9903
9903	Bos	genus	27592
27592	Bovinae	subfamily	9895
9895	Bovidae	family	35500
35500	Pecora	infraorder	9845
9845	Ruminantia	suborder	91561
91561	Cetartiodactyla	norank	314145
15368	Brachypodium distachyon	species	15367
15367	Brachypodium	genus	147385
147385	Brachypodieae	tribe	147368
147368	Pooideae	subfamily	359160
359160	BOP clade	norank	4479
4479	Poaceae	family	38820
38820	Poales	order	4734
4734	commelinids	norank	1437197
1437197	Petrosaviidae	subclass	4447
4447	Liliopsida	class	1437183
7739	Branchiostoma floridae	species	7737
7737	Branchiostoma	genus	7736
7736	Branchiostomidae	family	7735
7735	Cephalochordata	subphylum	7711
3711	Brassica rapa	species	3705
3705	Brassica	genus	981071
981071	Brassiceae	tribe	3700
6239	Caenorhabditis elegans	species	6237
6237	Caenorhabditis	genus	55885
55885	Peloderinae	subfamily	6243
6243	Rhabditidae	family	55879
55879	Rhabditoidea	superfamily	2301119
2301119	Rhabditomorpha	infraorder	2301116
2301116	Rhabditina	suborder	6236
6236	Rhabditida	order	119089
119089	Chromadorea	class	6231
6231	Nematoda	phylum	1206794
9483	Callithrix jacchus	species	1965096
1965096	Callithrix	subgenus	9481
9481	Callithrix	genus	9480
9480	Callitrichinae	subfamily	9498
9498	Cebidae	family	9479
9479	Platyrrhini	parvorder	314293
314293	Simiiformes	infraorder	376913
376913	Haplorrhini	suborder	9443
